sym,tf,dir,entry,sl,tp,rA,rB,mae_a,mae_b,at_risk,used_trap,bh_a,bh_b,res_a,res_b
BTCUSDT,1h,BUY,73033.06,72330.26645550292,74204.38257416179,0.2980600086563836,0.4484012372863618,0.78573,0.82674,True,True,120,120,False,False
BTCUSDT,1h,BUY,73440.67,72712.01196928568,74655.10005119051,-1.0,-1.0,1.05279,1.152,True,True,73,72,True,True
BTCUSDT,1h,BUY,71646.01,70955.46817625866,72796.91303956888,-1.0,-1.0,1.07627,1.28965,True,True,95,83,True,True
BTCUSDT,1h,BUY,71595.24,70939.45159075366,72688.22068207727,-1.0,-1.0,1.10206,1.13475,True,True,67,58,True,True
BTCUSDT,1h,BUY,71408.0,70741.08637568723,72519.52270718795,-1.0,-1.0,1.01901,1.26096,True,True,111,51,True,True
BTCUSDT,1h,BUY,70846.49,70132.90077509379,72035.8053748437,-1.0,-1.0,1.04502,1.0974,True,True,101,101,True,True
BTCUSDT,1h,BUY,66465.98,65453.75844930567,68153.01591782387,-0.6389303028490179,-0.6737704946845652,0.75616,0.77578,True,True,120,120,False,False
BTCUSDT,1h,BUY,65768.88,64812.23375030106,67363.2904161649,-0.677259734490379,-0.5743023661150388,0.69697,0.74062,True,True,120,120,False,False
BTCUSDT,1h,BUY,63231.99,61899.62651010466,65452.59581649223,-1.0,-1.0,1.0212,1.04983,True,True,57,54,True,True
BTCUSDT,1h,SELL,62530.0,63337.62414571847,61183.95975713588,0.07741110236089568,-0.1739453157507333,0.11531,0.20728,True,True,120,120,False,False
BTCUSDT,1h,BUY,61390.51,60584.02547542627,62734.65087428955,1.6666666666666667,1.3293653932682248,0.10765,0.18743,True,True,102,120,True,False
ETHUSDT,1h,BUY,1953.66,1920.794003526008,2008.4366607899867,1.6666666666666643,1.6666666666666643,0.10261,0.06667,True,True,77,78,True,True
ETHUSDT,1h,BUY,1929.88,1886.0708912800687,2002.8951811998847,1.2526246420577969,1.0203955152661326,0.13947,0.15391,True,True,120,120,False,False
ETHUSDT,1h,SELL,2048.72,2079.436880866673,1997.525198555544,0.020160483290681545,-0.00825008393705869,0.10492,0.06667,True,True,120,120,False,False
ETHUSDT,1h,SELL,2050.22,2077.484097035015,2004.7798382749747,0.04007207265293035,-0.1875397828959317,0.13905,0.22087,True,True,120,120,False,False
ETHUSDT,1h,SELL,2070.97,2097.0451554148626,2027.511407641895,-0.03002746566985623,-0.05864477150332253,0.10472,0.09198,True,True,120,120,False,False
ETHUSDT,1h,BUY,2010.32,1977.0161567270711,2065.8264054548813,-0.5510411433720556,-0.8760801058371305,0.80857,0.87944,True,True,120,120,False,False
ETHUSDT,1h,BUY,1970.27,1935.1381108689136,2028.8231485518104,1.4357066551838715,1.5983403019940414,0.11989,0.06667,True,True,120,120,False,False
ETHUSDT,1h,BUY,1936.87,1909.1509835621437,1983.0683607297608,-1.0,-1.0,1.00667,1.27121,True,True,85,77,True,True
ETHUSDT,1h,BUY,1942.95,1927.462352259782,1968.7627462336968,-1.0,-1.0,1.01942,1.27931,True,True,111,106,True,True
ETHUSDT,1h,BUY,1879.52,1855.3208536637756,1919.8519105603743,1.6666666666666792,1.40743125636252,0.1115,0.09989,True,True,55,120,True,False
ETHUSDT,1h,BUY,1825.7,1795.4826614332885,1876.06223094452,1.6666666666666918,1.4176028882119933,0.11876,0.21992,True,True,68,120,True,False
ETHUSDT,1h,BUY,1834.73,1804.2112743087637,1885.594542818728,1.666666666666694,1.4353286330952255,0.13287,0.05462,True,True,99,120,True,False
ETHUSDT,1h,SELL,1906.14,1938.2328534213816,1852.651910964364,-0.045767943414317766,-0.05288088590390094,0.12622,0.08621,True,True,120,120,False,False
ETHUSDT,1h,SELL,2057.48,2104.89961828751,1978.4473028541504,0.12221048350769524,-0.14223526418486113,0.10222,0.17557,True,True,120,120,False,False
ETHUSDT,1h,SELL,2058.34,2103.933573931577,1982.3507101140376,-0.09209140674246168,-0.09908675587209365,0.12634,0.13242,True,True,120,120,False,False
ETHUSDT,1h,SELL,2066.13,2107.917865474276,1996.4835575428733,0.09698695137088946,-0.14750739542530442,0.12217,0.18084,True,True,120,120,False,False
ETHUSDT,1h,BUY,1948.59,1912.866644157072,2008.12892640488,-0.42296309781349123,-0.7152366637239816,0.87752,0.9046,True,True,120,120,False,False
ETHUSDT,1h,BUY,1929.84,1896.916333521336,1984.71277746444,-1.0,-1.0,1.0201,1.03536,True,True,68,68,True,True
ETHUSDT,1h,BUY,1865.09,1828.7518451859555,1925.653591356741,1.666666666666675,1.5875430102362227,0.24872,0.27284,True,True,112,120,True,False
ETHUSDT,1h,SELL,2015.7,2060.8535563387727,1940.444072768712,-9.147991800422033e-05,-0.0028743777629265015,0.13055,0.06667,True,True,120,120,False,False
ETHUSDT,1h,SELL,2041.01,2092.403204359914,1955.3546594001432,0.10354261921336713,-0.15896292435028497,0.10416,0.1923,True,True,120,120,False,False
ETHUSDT,1h,SELL,2054.97,2098.6942357406288,1982.0962737656184,0.025878252317309485,-0.2256883992475134,0.1151,0.25902,True,True,120,120,False,False
ETHUSDT,1h,SELL,2132.11,2179.2246782175084,2053.585536304153,0.004894614511261166,-0.0134174747687278,0.11502,0.06667,True,True,120,120,False,False
ETHUSDT,1h,BUY,1983.75,1947.810878646202,2043.6485355896632,-0.4973038064367291,-0.6882278674898274,0.88521,0.90795,True,True,120,120,False,False
ETHUSDT,1h,BUY,1983.77,1949.441803526572,2040.9836607890463,-1.0,-1.0,1.00667,1.01258,True,True,86,86,True,True
ETHUSDT,1h,BUY,1947.67,1926.6889645029396,1982.6383924951008,-1.0,-1.0,1.00667,1.03691,True,True,64,64,True,True
ETHUSDT,1h,SELL,2105.81,2143.1603542341104,2043.5594096098157,0.0017375811445266727,-0.0012663857549650341,0.13033,0.06667,True,True,120,120,False,False
ETHUSDT,1h,SELL,2151.14,2192.381101153987,2082.4048314100214,0.05818407242549035,-0.20741493530948343,0.10107,0.24075,True,True,120,120,False,False
ETHUSDT,1h,SELL,2243.54,2281.774153065001,2179.816411558332,-0.017951578083244837,-0.03670232372195748,0.11458,0.07004,True,True,120,120,False,False
ETHUSDT,1h,SELL,2273.88,2315.5090054881853,2204.4983241863583,-0.011008384597426736,-0.04370747001417924,0.10063,0.07704,True,True,120,120,False,False
ETHUSDT,1h,SELL,2320.0,2364.775349562907,2245.374417395155,0.07574777035154685,-0.1694190206157099,0.1215,0.20275,True,True,120,120,False,False
ETHUSDT,1h,BUY,2204.02,2165.7984864513787,2267.722522581036,-0.5813902494281143,-0.730891721728959,0.86812,0.89666,True,True,120,120,False,False
ETHUSDT,1h,BUY,2202.49,2162.2500534032124,2269.556577661312,-0.5333238251762162,-0.8172046619315114,0.6081,0.86906,True,True,120,120,False,False
ETHUSDT,1h,BUY,2126.96,2087.9567834342265,2191.965360942956,-0.1609574768350314,-0.16595244679293483,0.54589,0.5348,True,True,120,120,False,False
ETHUSDT,1h,BUY,2102.29,2077.000454692144,2144.43924217976,-1.0,-1.0,1.05157,1.06179,True,True,68,68,True,True
ETHUSDT,1h,BUY,2082.44,2057.5055651985567,2123.9973913357385,-0.28616407608713723,-0.5463991231936264,0.60476,0.86699,True,True,120,120,False,False
ETHUSDT,1h,BUY,2062.67,2035.475099008775,2107.994834985375,-1.0,-1.0,1.10892,1.08407,True,True,70,71,True,True
ETHUSDT,1h,SELL,2128.45,2178.169323452216,2045.584460912973,0.12606225182081518,-0.0897288653740036,0.15088,0.12306,True,True,120,120,False,False
ETHUSDT,1h,BUY,2064.89,2035.666227579196,2113.596287368006,-1.0,-1.0,1.00667,1.01383,True,True,111,110,True,True
ETHUSDT,1h,BUY,1991.71,1962.922373497846,2039.6893775035896,1.3365856211830311,1.0602103813020312,0.29583,0.55604,True,True,120,120,False,False
ETHUSDT,1h,SELL,2055.16,2081.4950807059,2011.2681988234997,-0.02785853933094893,-0.0,0.13193,0.10407,True,True,120,120,False,False
ETHUSDT,1h,SELL,2060.92,2087.4276392659626,2016.740601223396,0.09801226806581043,-0.15720695558431047,0.11145,0.19054,True,True,120,120,False,False
ETHUSDT,1h,BUY,2038.81,2010.3115256915776,2086.307457180704,0.6042947170029149,0.6639872971096872,0.63311,0.65462,True,True,120,120,False,False
ETHUSDT,1h,BUY,2036.63,2023.129236181505,2059.131273030825,1.1205574557723308,0.9505029436614795,0.12831,0.04131,True,True,120,120,False,False
ETHUSDT,1h,SELL,2140.62,2165.878083915099,2098.5231934748344,0.09803975953333216,-0.16327822429364297,0.10535,0.19661,True,True,120,120,False,False
ETHUSDT,1h,SELL,2236.06,2267.221547707757,2184.1240871537384,0.12087859538933685,-0.13650793529973465,0.10928,0.16984,True,True,120,120,False,False
ETHUSDT,1h,SELL,2298.32,2324.431848927883,2254.8002517868617,0.026558246577538892,-0.20767712185594955,0.13243,0.24101,True,True,120,120,False,False
ETHUSDT,1h,BUY,2186.47,2162.146718298958,2227.0088028350688,1.6666666666666479,1.6080453642699977,0.14897,0.16303,True,True,104,120,True,False
ETHUSDT,1h,SELL,2353.05,2387.1485342927426,2296.219109512096,0.042488139677019886,-0.21902042170307756,0.10516,0.25235,True,True,120,120,False,False
ETHUSDT,1h,SELL,2419.99,2456.490172743944,2359.1563787600926,0.007840791547215524,-0.22077426123413318,0.13805,0.25411,True,True,120,120,False,False
ETHUSDT,1h,BUY,2318.01,2296.113038213675,2354.5049363105422,-1.0,-1.0,1.03834,1.29858,True,True,66,51,True,True
ETHUSDT,1h,BUY,2299.65,2275.3350229130388,2340.174961811602,-1.0,-1.0,1.00667,1.25925,True,True,52,46,True,True
ETHUSDT,1h,BUY,2280.01,2253.722643722577,2323.822260462373,0.7380670392663028,0.7638729696583029,0.6623,0.68444,True,True,120,120,False,False
ETHUSDT,1h,SELL,2388.22,2419.254519431876,2336.4958009468733,-0.03060514007155627,-0.057445110411391054,0.10649,0.09078,True,True,120,120,False,False
ETHUSDT,1h,SELL,2403.17,2432.2754540279047,2354.660909953492,-0.016996168926312755,-0.046207348044676355,0.10412,0.07954,True,True,120,120,False,False
ETHUSDT,1h,SELL,2342.92,2354.777952177336,2323.1567463711067,0.039727060781409564,-0.0,0.10577,0.1455,True,True,120,120,False,False
ETHUSDT,1h,SELL,2361.89,2379.301410600352,2332.870982332746,-0.11274162860813737,-0.12207421613218965,0.14607,0.15541,True,True,120,120,False,False
ETHUSDT,1h,SELL,2382.84,2404.061356233436,2347.4710729442745,0.1031240452516478,-0.14334149594102266,0.1202,0.17667,True,True,120,120,False,False
ETHUSDT,1h,BUY,2287.08,2262.047879958468,2328.80020006922,-1.0,-1.0,1.00838,1.03322,True,True,88,85,True,True
ETHUSDT,1h,SELL,2333.68,2356.086592910809,2296.3356784819844,0.07507439732867845,-0.1448721760972587,0.14672,0.17821,True,True,120,120,False,False
ETHUSDT,1h,BUY,2240.42,2209.8047364785984,2291.445439202336,0.7801766988087712,0.9957299295350489,0.13503,0.1124,True,True,120,120,False,False
ETHUSDT,1h,SELL,2308.04,2329.726137439419,2271.896437600969,0.0015650155267058746,-0.0,0.1197,0.12126,True,True,120,120,False,False
ETHUSDT,1h,SELL,2316.97,2330.841567086954,2293.8507215217437,-0.03764985693898002,-0.057862944458734925,0.11312,0.0912,True,True,120,120,False,False
ETHUSDT,1h,SELL,2376.19,2401.622480424126,2333.8025326264565,-0.09666628734740494,-0.12555128657751555,0.13,0.15888,True,True,120,120,False,False
ETHUSDT,1h,BUY,2299.6,2275.8937699141266,2339.110383476456,-1.0,-1.0,1.02422,1.0567,True,True,91,90,True,True
ETHUSDT,1h,BUY,2291.06,2270.0526287623084,2326.0722853961524,-0.7582608429122055,-0.82961646465124,0.95671,0.94247,True,True,120,120,False,False
ETHUSDT,1h,BUY,2281.63,2261.418345873453,2315.3160902109125,1.148764991983204,1.2126903946278904,0.20151,0.43361,True,True,120,120,False,False
ETHUSDT,1h,BUY,2281.35,2261.7756307886207,2313.973948685632,1.6666666666666667,1.580299123927509,0.52457,0.54831,True,True,92,120,True,False
ETHUSDT,1h,SELL,2328.76,2348.6983316953365,2295.52944717444,-0.07273212514121523,-0.09197374687634843,0.17178,0.12531,True,True,120,120,False,False
ETHUSDT,1h,BUY,2292.84,2273.028481464953,2325.859197558412,-1.0,-0.9330235517839484,1.00667,0.98685,True,True,118,120,True,False
ETHUSDT,1h,BUY,2276.59,2255.107022296384,2312.3949628393607,0.7156967158292502,0.6766228482509062,0.22142,0.17098,True,True,120,120,False,False
ETHUSDT,1h,BUY,2250.75,2225.68288884673,2292.528518588784,1.4247326694436875,1.1651344402733277,0.11705,0.14278,True,True,120,120,False,False
ETHUSDT,1h,BUY,2178.91,2161.5808634025966,2207.791894329005,-1.0,-1.0,1.00667,1.03162,True,True,74,74,True,True
ETHUSDT,1h,BUY,2174.5,2160.461979782503,2197.896700362495,1.6666666666666559,1.5517762536092004,0.10223,0.20668,True,True,103,120,True,False
ETHUSDT,1h,BUY,2133.9,2114.035016667198,2167.00830555467,-1.0,-1.0,1.01958,1.23803,True,True,107,97,True,True
ETHUSDT,1h,BUY,2078.18,2056.637277795748,2114.0845370070865,-0.07983020175103007,-0.3073170982348089,0.82848,0.84795,True,True,120,120,False,False
ETHUSDT,1h,BUY,2068.93,2047.470282073208,2104.696196544653,-1.0,-1.0,1.00667,1.02802,True,True,68,68,True,True
ETHUSDT,1h,BUY,2044.89,2026.672069465489,2075.253217557519,1.6666666666666707,1.6666666666666583,0.26669,0.2572,True,True,114,114,True,True
ETHUSDT,1h,SELL,2116.84,2145.040455186689,2069.839241355518,0.14228123100563844,-0.11426253522874955,0.11012,0.1476,True,True,120,120,False,False
ETHUSDT,1h,BUY,2028.23,2004.7170577329557,2067.4182371117413,-1.0,-1.0,1.04838,1.29593,True,True,67,62,True,True
ETHUSDT,1h,BUY,1995.56,1970.8377092614844,2036.7638178975255,-1.0,-1.0,1.05589,1.08633,True,True,111,111,True,True
ETHUSDT,1h,BUY,1994.04,1970.4639176795447,2033.3334705340912,-0.8894450340913396,-0.9720259021092809,0.97289,0.97477,True,True,120,120,False,False
ETHUSDT,1h,BUY,1993.62,1969.1213565069452,2034.451072488424,0.3190992463230827,-1.0,0.76434,1.03041,True,True,120,30,False,True
ETHUSDT,1h,BUY,1873.45,1837.811487225428,1932.8475212909532,-0.0099163528564169,0.04903896877618954,0.81111,0.8308,True,True,120,120,False,False
ETHUSDT,1h,BUY,1832.25,1802.1599590514256,1882.400068247624,0.02294773971974004,-0.03927606669527716,0.59993,0.60837,True,True,120,120,False,False
ETHUSDT,1h,BUY,1850.1,1810.3522576661744,1916.3462372230424,-1.0,-1.0,1.00667,1.01885,True,True,60,60,True,True
