sym,tf,dir,entry,sl,tp,rA,rB,has_idm,swept_entered,bh_a,bh_b,res_a,res_b
BTCUSDT,1h,BUY,74449.3,73807.12220183987,75519.5963302669,-0.2777542522750051,-0.06849287901904169,True,True,120,120,False,False
BTCUSDT,1h,BUY,73498.0,72820.58070274822,74627.03216208631,-0.5985415175609254,-0.7449738300999815,True,True,120,120,False,False
BTCUSDT,1h,BUY,73541.24,72894.63680492066,74618.91199179892,-1.0,-0.9375707445608028,True,True,69,120,True,False
BTCUSDT,1h,BUY,73033.06,72330.26645550292,74204.38257416179,0.7690524596205299,0.8293593692002832,True,True,120,120,False,False
BTCUSDT,1h,BUY,73440.67,72712.01196928568,74655.10005119051,-1.0,-1.0,True,True,70,70,True,True
BTCUSDT,1h,BUY,71646.01,70955.46817625866,72796.91303956888,-1.0,-1.0,True,True,86,83,True,True
BTCUSDT,1h,BUY,71595.24,70939.45159075366,72688.22068207727,-1.0,-0.8614888110403577,True,True,56,120,True,False
BTCUSDT,1h,BUY,71408.0,70741.08637568723,72519.52270718795,-1.0,-1.0,True,True,109,93,True,True
BTCUSDT,1h,BUY,70846.49,70132.90077509379,72035.8053748437,-1.0,-1.0,True,True,99,94,True,True
BTCUSDT,1h,BUY,66465.98,65453.75844930567,68153.01591782387,-0.7271944983634412,-0.6671780168067675,True,True,120,120,False,False
BTCUSDT,1h,BUY,65768.88,64812.23375030106,67363.2904161649,-0.7823312759169562,-0.5560255147240564,True,True,120,120,False,False
BTCUSDT,1h,BUY,63231.99,61899.62651010466,65452.59581649223,-1.0,-0.9377585185246758,True,True,55,120,True,False
BTCUSDT,1h,SELL,62530.0,63337.62414571847,61183.95975713588,0.07692826715254877,-0.0,True,True,120,120,False,False
BTCUSDT,1h,BUY,61390.51,60584.02547542627,62734.65087428955,1.6666666666666667,1.5133562581209075,True,True,95,120,True,False
ETHUSDT,1h,BUY,1953.66,1920.794003526008,2008.4366607899867,1.6666666666666643,1.5416155773371725,True,True,72,120,True,False
ETHUSDT,1h,BUY,1929.88,1886.0708912800687,2002.8951811998847,1.2059526692292148,1.2000341823367107,True,True,120,120,False,False
ETHUSDT,1h,SELL,2048.72,2079.436880866673,1997.525198555544,0.019677648082344023,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2050.22,2077.484097035015,2004.7798382749747,0.039589237444594964,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2070.97,2097.0451554148626,2027.511407641895,-0.03051030087819122,-0.0,True,True,120,120,False,False
