sym,tf,dir,entry,sl,tp,rA,rB,has_ob,filled_ob,bh_a,bh_b,res_a,res_b
BTCUSDT,1h,BUY,77895.51,77504.38091461736,78547.39180897106,1.4182535347077634,1.5389756227688032,True,True,120,120,False,False
BTCUSDT,1h,BUY,77038.49,76502.70558894335,77931.46401842775,-1.0,-1.0,True,True,75,75,True,True
BTCUSDT,1h,BUY,77073.69,76554.25188006871,77939.42019988548,-1.0,-1.0,True,True,114,114,True,True
BTCUSDT,1h,BUY,77285.83,76756.18820847153,78168.56631921411,-1.0,-1.0,True,True,60,60,True,True
BTCUSDT,1h,BUY,75635.22,75138.23130865234,76463.53448557944,-1.0,-1.0,True,True,41,41,True,True
BTCUSDT,1h,BUY,75213.9,74738.76125994563,76005.79790009059,1.408313116758028,1.5405395605038892,True,True,120,120,False,False
BTCUSDT,1h,SELL,76804.99,77446.32874025349,75736.09209957754,-0.10512158760554081,-0.10512158760556112,True,True,120,120,False,False
BTCUSDT,1h,BUY,75326.01,74732.35832600843,76315.42945665261,-1.0,-1.0,True,True,87,87,True,True
BTCUSDT,1h,BUY,74449.3,73807.12220183987,75519.5963302669,-0.4911574548397978,-0.4403315313773857,True,True,120,120,False,False
BTCUSDT,1h,BUY,73498.0,72820.58070274822,74627.03216208631,-0.7779190763906768,-0.8331744308101061,True,True,120,120,False,False
BTCUSDT,1h,BUY,73541.24,72894.63680492066,74618.91199179892,-1.0,-1.0,True,True,69,69,True,True
BTCUSDT,1h,BUY,73033.06,72330.26645550292,74204.38257416179,1.1473272218691077,1.1326974835501797,True,True,120,120,False,False
BTCUSDT,1h,BUY,73440.67,72712.01196928568,74655.10005119051,-1.0,-1.0,True,True,70,70,True,True
BTCUSDT,1h,BUY,71646.01,70955.46817625866,72796.91303956888,-1.0,-1.0,True,True,86,86,True,True
BTCUSDT,1h,BUY,71595.24,70939.45159075366,72688.22068207727,-1.0,-1.0,True,True,56,56,True,True
BTCUSDT,1h,BUY,71408.0,70741.08637568723,72519.52270718795,-1.0,-1.0,True,True,94,94,True,True
BTCUSDT,1h,BUY,70846.49,70132.90077509379,72035.8053748437,-1.0,-1.0,True,True,94,94,True,True
BTCUSDT,1h,BUY,66465.98,65453.75844930567,68153.01591782387,-0.8598973051293848,-0.8939375806133262,True,True,120,120,False,False
BTCUSDT,1h,BUY,65768.88,64812.23375030106,67363.2904161649,-0.9181342625599758,-0.8159552427098219,True,True,120,120,False,False
BTCUSDT,1h,BUY,63231.99,61899.62651010466,65452.59581649223,-1.0,-1.0,True,True,52,52,True,True
BTCUSDT,1h,SELL,62530.0,63337.62414571847,61183.95975713588,0.07637057377237602,0.07637057377237602,True,True,120,120,False,False
BTCUSDT,1h,BUY,61390.51,60584.02547542627,62734.65087428955,1.6666666666666667,1.6666666666666667,True,True,95,95,True,True
ETHUSDT,1h,BUY,1953.66,1920.794003526008,2008.4366607899867,1.6666666666666643,1.6666666666666827,True,True,72,72,True,True
ETHUSDT,1h,BUY,1929.88,1886.0708912800687,2002.8951811998847,1.3527392684304758,1.307180175072273,True,True,120,120,False,False
ETHUSDT,1h,SELL,2048.72,2079.436880866673,1997.525198555544,0.019119954702157112,0.019119954702157112,True,True,120,120,False,False
ETHUSDT,1h,SELL,2050.22,2077.484097035015,2004.7798382749747,0.0390315440644152,0.03903154406443252,True,True,120,120,False,False
ETHUSDT,1h,SELL,2070.97,2097.0451554148626,2027.511407641895,-0.031067994258374875,-0.03106799425835798,True,True,120,120,False,False
ETHUSDT,1h,BUY,2010.32,1977.0161567270711,2065.8264054548813,-1.0,-1.0,True,True,115,115,True,True
ETHUSDT,1h,BUY,1970.27,1935.1381108689136,2028.8231485518104,1.6666666666666603,1.6666666666666603,True,True,109,109,True,True
ETHUSDT,1h,BUY,1936.87,1909.1509835621437,1983.0683607297608,-1.0,-1.0,True,True,82,82,True,True
ETHUSDT,1h,BUY,1942.95,1927.462352259782,1968.7627462336968,-1.0,-1.0,True,True,104,104,True,True
ETHUSDT,1h,BUY,1879.52,1855.3208536637756,1919.8519105603743,1.6666666666666792,1.6666666666666792,True,True,53,53,True,True
ETHUSDT,1h,BUY,1825.7,1795.4826614332885,1876.06223094452,1.6666666666666918,1.6666666666666918,True,True,61,61,True,True
ETHUSDT,1h,BUY,1834.73,1804.2112743087637,1885.594542818728,1.666666666666694,1.666666666666694,True,True,94,94,True,True
ETHUSDT,1h,SELL,1906.14,1938.2328534213816,1852.651910964364,-0.04680847200284173,-0.04680847200284848,True,True,120,120,False,False
ETHUSDT,1h,SELL,2057.48,2104.89961828751,1978.4473028541504,0.12394469782190015,0.12394469782190015,True,True,120,120,False,False
ETHUSDT,1h,SELL,2058.34,2103.933573931577,1982.3507101140376,-0.09035719242825416,-0.09035719242825416,True,True,120,120,False,False
ETHUSDT,1h,SELL,2066.13,2107.917865474276,1996.4835575428733,0.09872116568509413,0.09872116568509413,True,True,120,120,False,False
ETHUSDT,1h,BUY,1948.59,1912.866644157072,2008.12892640488,-0.8869665260794827,-1.0,True,True,120,121,False,True
ETHUSDT,1h,BUY,1929.84,1896.916333521336,1984.71277746444,-1.0,-1.0,True,True,66,66,True,True
ETHUSDT,1h,BUY,1865.09,1828.7518451859555,1925.653591356741,1.666666666666675,1.6666666666666583,True,True,107,107,True,True
ETHUSDT,1h,SELL,2015.7,2060.8535563387727,1940.444072768712,0.0016427343962045885,0.0016427343961995448,True,True,120,120,False,False
ETHUSDT,1h,SELL,2041.01,2092.403204359914,1955.3546594001432,0.10527683352757294,0.10527683352757294,True,True,120,120,False,False
ETHUSDT,1h,SELL,2054.97,2098.6942357406288,1982.0962737656184,0.024837723728780754,0.024837723728780754,True,True,120,120,False,False
ETHUSDT,1h,SELL,2132.11,2179.2246782175084,2053.585536304153,0.006628828825470414,0.006628828825460698,True,True,120,120,False,False
ETHUSDT,1h,BUY,1983.75,1947.810878646202,2043.6485355896632,-0.905133364324413,-0.8687313083290829,True,True,120,120,False,False
ETHUSDT,1h,BUY,1983.77,1949.441803526572,2040.9836607890463,-1.0,-1.0,True,True,83,83,True,True
